model,shots,train_degradation,test_degradation,seed,lr,accuracy,f1,train_time_sec,num_params
small_cnn,full,mixed,moderate,512,0.001,0.8366666666666667,0.8304774900182945,29.5,549290
small_cnn,full,mixed,severe,512,0.001,0.8137037037037037,0.8075029164162958,29.5,549290
small_cnn,full,mixed,none,88,0.001,0.8207407407407408,0.8159407073294425,29.8,549290
small_cnn,full,mixed,moderate,88,0.001,0.8153703703703704,0.8108804369534885,29.8,549290
small_cnn,full,mixed,severe,88,0.001,0.8007407407407408,0.7968228169835967,29.8,549290
small_cnn,full,mixed,none,314,0.001,0.8418518518518519,0.8371887540252694,28.5,549290
small_cnn,full,mixed,moderate,314,0.001,0.8346296296296296,0.829703457779398,28.5,549290
small_cnn,full,mixed,severe,314,0.001,0.8162962962962963,0.8112501195281769,28.5,549290
mobilenet,5,none,none,42,0.0001,0.5001851851851852,0.4741394792584942,2.6,2236682
mobilenet,5,none,moderate,42,0.0001,0.08314814814814815,0.019376499890720315,2.6,2236682
mobilenet,5,none,severe,42,0.0001,0.10833333333333334,0.025985282002713227,2.6,2236682
mobilenet,5,none,none,123,0.0001,0.5,0.4586182244536451,2.4,2236682
mobilenet,5,none,moderate,123,0.0001,0.1012962962962963,0.020342005581035983,2.4,2236682
mobilenet,5,none,severe,123,0.0001,0.10888888888888888,0.01963927855711423,2.4,2236682
mobilenet,5,none,none,7,0.0001,0.4537037037037037,0.42373522002152997,2.4,2236682
mobilenet,5,none,moderate,7,0.0001,0.07907407407407407,0.026989538206176646,2.4,2236682
mobilenet,5,none,severe,7,0.0001,0.046481481481481485,0.018478871916681384,2.4,2236682
mobilenet,5,none,none,2024,0.0001,0.47944444444444445,0.4436552557678229,2.4,2236682
mobilenet,5,none,moderate,2024,0.0001,0.10777777777777778,0.029834205684302555,2.4,2236682
mobilenet,5,none,severe,2024,0.0001,0.10907407407407407,0.020003390184113075,2.4,2236682
mobilenet,5,none,none,99,0.0001,0.46555555555555556,0.4390796838436228,2.4,2236682
mobilenet,5,none,moderate,99,0.0001,0.10925925925925926,0.02130392550203771,2.4,2236682
mobilenet,5,none,severe,99,0.0001,0.10888888888888888,0.019642558877568064,2.4,2236682
mobilenet,5,none,none,17,0.0001,0.4462962962962963,0.4102936523545072,2.4,2236682
mobilenet,5,none,moderate,17,0.0001,0.11481481481481481,0.047547901907650014,2.4,2236682
mobilenet,5,none,severe,17,0.0001,0.12111111111111111,0.04265792129773162,2.4,2236682
mobilenet,5,none,none,256,0.0001,0.5007407407407407,0.45747900105808215,2.4,2236682
mobilenet,5,none,moderate,256,0.0001,0.11092592592592593,0.023829818936746912,2.4,2236682
mobilenet,5,none,severe,256,0.0001,0.10888888888888888,0.01963927855711423,2.4,2236682
mobilenet,5,none,none,512,0.0001,0.5116666666666667,0.47641662777585847,2.4,2236682
mobilenet,5,none,moderate,512,0.0001,0.10722222222222222,0.01943605236656596,2.4,2236682
mobilenet,5,none,severe,512,0.0001,0.10888888888888888,0.01963927855711423,2.4,2236682
